,Timestamp,LineId,JourneyPattern,Timeframe,VehicleJourney,Longitude,Latitude,StopId,AtStop,Date
1338099,1359355769000000,15.0,00151001,2013-01-28,4964,-6.179693,53.40292700000001,6115.0,0,2013-01-28 06:49:29
1338134,1359355791000000,15.0,00151001,2013-01-28,4964,-6.177212,53.402451,6115.0,0,2013-01-28 06:49:51
1338169,1359355811000000,15.0,00151001,2013-01-28,4964,-6.175921,53.402374,4593.0,0,2013-01-28 06:50:11
1338201,1359355830000000,15.0,00151001,2013-01-28,4964,-6.172091,53.402084,4593.0,0,2013-01-28 06:50:30
1338230,1359355850000000,15.0,00151001,2013-01-28,4964,-6.171319,53.401939,7516.0,0,2013-01-28 06:50:50
1338275,1359355875000000,15.0,00151001,2013-01-28,4964,-6.168478,53.400986,7516.0,0,2013-01-28 06:51:15
1338301,1359355891000000,15.0,00151001,2013-01-28,4964,-6.164307,53.399616,7516.0,0,2013-01-28 06:51:31
1338332,1359355909000000,15.0,00151001,2013-01-28,4964,-6.163512,53.399399,6079.0,0,2013-01-28 06:51:49
1338376,1359355932000000,15.0,00151001,2013-01-28,4964,-6.161816,53.399361,6079.0,0,2013-01-28 06:52:12
1338404,1359355950000000,15.0,00151001,2013-01-28,4964,-6.1623839999999985,53.401722,6315.0,0,2013-01-28 06:52:30
1338441,1359355969000000,15.0,00151001,2013-01-28,4964,-6.162376999999998,53.40289300000001,6315.0,0,2013-01-28 06:52:49
1338492,1359355993000000,15.0,00151001,2013-01-28,4964,-6.159268,53.402901,6315.0,0,2013-01-28 06:53:13
1338520,1359356012000000,15.0,00151001,2013-01-28,4964,-6.157329,53.40284000000001,6316.0,1,2013-01-28 06:53:32
1338554,1359356030000000,15.0,00151001,2013-01-28,4964,-6.155185,53.402779,6316.0,0,2013-01-28 06:53:50
1338592,1359356050000000,15.0,00151001,2013-01-28,4964,-6.152558,53.40259200000001,7236.0,0,2013-01-28 06:54:10
1338650,1359356093000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7236.0,0,2013-01-28 06:54:53
